timestamp,symbol,price
2025-09-16T12:21:41.919714,AAPL,146.84
2025-09-16T12:21:41.936409,AAPL,147.88
2025-09-16T12:21:41.951378,AAPL,147.66
2025-09-16T12:21:41.963929,AAPL,146.26
2025-09-16T12:21:41.976523,AAPL,144.31
2025-09-16T12:21:41.989125,AAPL,146.18
2025-09-16T12:21:42.001712,AAPL,145.72
2025-09-16T12:21:42.014298,AAPL,146.1
2025-09-16T12:21:42.024402,AAPL,141.54
2025-09-16T12:21:42.036920,AAPL,145.32
2025-09-16T12:21:42.048732,AAPL,143.82
2025-09-16T12:21:42.061273,AAPL,141.95
2025-09-16T12:21:42.073002,AAPL,143.19
2025-09-16T12:21:42.084775,AAPL,139.99
2025-09-16T12:21:42.097309,AAPL,141.55
2025-09-16T12:21:42.109853,AAPL,146.92
2025-09-16T12:21:42.122423,AAPL,150.18
2025-09-16T12:21:42.134979,AAPL,152.04
2025-09-16T12:21:42.147537,AAPL,154.24
2025-09-16T12:21:42.160089,AAPL,153.28
2025-09-16T12:21:42.172666,AAPL,156.23
2025-09-16T12:21:42.185220,AAPL,156.36
2025-09-16T12:21:42.197775,AAPL,161.71
2025-09-16T12:21:42.210321,AAPL,165.09
2025-09-16T12:21:42.222925,AAPL,164.44
2025-09-16T12:21:42.235066,AAPL,164.99
2025-09-16T12:21:42.250249,AAPL,163.32
2025-09-16T12:21:42.262899,AAPL,161.15
2025-09-16T12:21:42.275521,AAPL,162.33
2025-09-16T12:21:42.288139,AAPL,164.8
2025-09-16T12:21:42.300154,AAPL,162.43
2025-09-16T12:21:42.312754,AAPL,167.87
2025-09-16T12:21:42.323060,AAPL,170.72
2025-09-16T12:21:42.335384,AAPL,170.56
2025-09-16T12:21:42.348009,AAPL,170.07
2025-09-16T12:21:42.360712,AAPL,168.47
2025-09-16T12:21:42.371893,AAPL,171.15
2025-09-16T12:21:42.383631,AAPL,169.55
2025-09-16T12:21:42.394387,AAPL,163.12
2025-09-16T12:21:42.406172,AAPL,160.75
2025-09-16T12:21:42.416973,AAPL,163.73
2025-09-16T12:21:42.428774,AAPL,168.19
2025-09-16T12:21:42.440515,AAPL,169.49
2025-09-16T12:21:42.452330,AAPL,165.36
2025-09-16T12:21:42.464145,AAPL,163.96
2025-09-16T12:21:42.476728,AAPL,168.01
2025-09-16T12:21:42.489324,AAPL,164.26
2025-09-16T12:21:42.500928,AAPL,166.53
2025-09-16T12:21:42.513547,AAPL,166.53
2025-09-16T12:21:42.525470,AAPL,165.03
2025-09-16T12:21:42.538071,AAPL,167.33
2025-09-16T12:21:42.550693,AAPL,168.22
2025-09-16T12:21:42.561051,AAPL,165.95
2025-09-16T12:21:42.572829,AAPL,164.55
2025-09-16T12:21:42.585559,AAPL,165.57
2025-09-16T12:21:42.597483,AAPL,164.02
2025-09-16T12:21:42.610111,AAPL,159.23
2025-09-16T12:21:42.622748,AAPL,159.32
2025-09-16T12:21:42.634072,AAPL,152.46
2025-09-16T12:21:42.646728,AAPL,149.17
2025-09-16T12:21:42.657469,AAPL,146.34
2025-09-16T12:21:42.670053,AAPL,146.02
2025-09-16T12:21:42.682607,AAPL,147.5
2025-09-16T12:21:42.695189,AAPL,143.34
2025-09-16T12:21:42.707809,AAPL,140.94
2025-09-16T12:21:42.720389,AAPL,138.69
2025-09-16T12:21:42.732956,AAPL,140.65
2025-09-16T12:21:42.744372,AAPL,144.38
2025-09-16T12:21:42.756063,AAPL,144.5
2025-09-16T12:21:42.766691,AAPL,145.39
2025-09-16T12:21:42.777710,AAPL,148.42
2025-09-16T12:21:42.788708,AAPL,146.12
2025-09-16T12:21:42.800195,AAPL,148.4
2025-09-16T12:21:42.810689,AAPL,147.96
